,0
0,aggrnyl
1,agsunset
2,algae
3,amp
4,armyrose
5,balance
6,blackbody
7,bluered
8,blues
9,blugrn
10,bluyl
11,brbg
12,brwnyl
13,bugn
14,bupu
15,burg
16,burgyl
17,cividis
18,curl
19,darkmint
20,deep
21,delta
22,dense
23,earth
24,edge
25,electric
26,emrld
27,fall
28,geyser
29,gnbu
30,gray
31,greens
32,greys
33,haline
34,hot
35,hsv
36,ice
37,icefire
38,inferno
39,jet
40,magenta
41,magma
42,matter
43,mint
44,mrybm
45,mygbm
46,oranges
47,orrd
48,oryel
49,oxy
50,peach
51,phase
52,picnic
53,pinkyl
54,piyg
55,plasma
56,plotly3
57,portland
58,prgn
59,pubu
60,pubugn
61,puor
62,purd
63,purp
64,purples
65,purpor
66,rainbow
67,rdbu
68,rdgy
69,rdpu
70,rdylbu
71,rdylgn
72,redor
73,reds
74,solar
75,spectral
76,speed
77,sunset
78,sunsetdark
79,teal
80,tealgrn
81,tealrose
82,tempo
83,temps
84,thermal
85,tropic
86,turbid
87,turbo
88,twilight
89,viridis
90,ylgn
91,ylgnbu
92,ylorbr
93,ylorrd
